features,accuracy,true_negative,false_positive,false_negative,true_positive,Cost
"['feature_122', 'feature_206', 'feature_342']",0.836734694,323,43,21,5,1060
"['feature_122', 'feature_206', 'feature_478']",0.808673469,312,54,21,5,1170
"['feature_122', 'feature_206', 'feature_520']",0.806122449,303,63,13,13,1020
"['feature_122', 'feature_248', 'feature_342']",0.783163265,300,66,19,7,1230
"['feature_122', 'feature_248', 'feature_478']",0.831632653,316,50,16,10,980
"['feature_122', 'feature_248', 'feature_520']",0.755102041,288,78,18,8,1320
"['feature_122', 'feature_342', 'feature_478']",0.823979592,315,51,18,8,1050
"['feature_122', 'feature_342', 'feature_520']",0.785714286,299,67,17,9,1180
"['feature_122', 'feature_478', 'feature_520']",0.793367347,298,68,13,13,1070
"['feature_131', 'feature_206', 'feature_248']",0.783163265,299,67,18,8,1210
"['feature_131', 'feature_206', 'feature_342']",0.790816327,306,60,22,4,1260
"['feature_131', 'feature_206', 'feature_478']",0.793367347,306,60,21,5,1230
"['feature_131', 'feature_206', 'feature_520']",0.790816327,299,67,15,11,1120
"['feature_131', 'feature_248', 'feature_342']",0.75255102,289,77,20,6,1370
"['feature_131', 'feature_248', 'feature_478']",0.81122449,311,55,19,7,1120
"['feature_131', 'feature_248', 'feature_520']",0.767857143,292,74,17,9,1250
"['feature_131', 'feature_342', 'feature_478']",0.783163265,302,64,21,5,1270
"['feature_131', 'feature_342', 'feature_520']",0.780612245,297,69,17,9,1200
"['feature_131', 'feature_478', 'feature_520']",0.793367347,302,64,17,9,1150
"['feature_206', 'feature_248', 'feature_342']",0.780612245,298,68,18,8,1220
"['feature_206', 'feature_248', 'feature_478']",0.808673469,308,58,17,9,1090
"['feature_206', 'feature_248', 'feature_520']",0.73,274,92,12,14,1280
"['feature_206', 'feature_342', 'feature_478']",0.803571429,309,57,20,6,1170
"['feature_206', 'feature_342', 'feature_520']",0.757653061,286,80,15,11,1250
"['feature_206', 'feature_478', 'feature_520']",0.755102041,285,81,15,11,1260
"['feature_248', 'feature_342', 'feature_478']",0.798469388,305,61,18,8,1150
"['feature_248', 'feature_342', 'feature_520']",0.701530612,265,101,16,10,1490
"['feature_248', 'feature_478', 'feature_520']",0.721938776,270,96,13,13,1350
"['feature_342', 'feature_478', 'feature_520']",0.755102041,285,81,15,11,1260
"['feature_1', 'feature_20', 'feature_34', 'feature_60']",0.846938776,324,42,18,8,960
"['feature_1', 'feature_20', 'feature_34', 'feature_122']",0.836734694,323,43,21,5,1060
